                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2578,                 1.0619,                 1.1005,                0.79858,                 0.6938,                0.75182,                0.44769,                 1.5009,                 1.1749,                 1.2483,             0.00033306,             0.00033306,             0.00033306
                     35,                 1.2461,                 1.0565,                 1.1052,                0.77552,                0.66988,                0.74658,                0.44351,                 1.4993,                 1.1509,                 1.2468,             0.00031506,             0.00031506,             0.00031506
                     36,                 1.2243,                 1.0318,                 1.0965,                0.82572,                0.68084,                0.75774,                 0.4584,                  1.474,                 1.1294,                 1.2371,             0.00029706,             0.00029706,             0.00029706
                     37,                 1.2269,                 1.0163,                 1.0934,                0.83072,                0.68679,                0.76309,                0.45235,                 1.4874,                   1.14,                 1.2388,             0.00027906,             0.00027906,             0.00027906
                     38,                 1.2164,                0.99704,                 1.0938,                 0.7599,                0.71708,                0.76545,                0.44979,                 1.4923,                 1.1359,                 1.2566,             0.00026106,             0.00026106,             0.00026106
                     39,                 1.2032,                  1.001,                 1.0996,                0.81004,                0.71169,                0.77524,                0.45822,                  1.477,                 1.1159,                 1.2465,             0.00024307,             0.00024307,             0.00024307
                     40,                 1.2074,                0.96589,                 1.0745,                0.77149,                0.70757,                0.76736,                0.44845,                 1.4953,                 1.1333,                 1.2512,             0.00022507,             0.00022507,             0.00022507
                     41,                 1.1894,                 1.0131,                 1.0827,                 0.7832,                0.69707,                0.75951,                0.45255,                 1.4874,                  1.134,                 1.2428,             0.00020707,             0.00020707,             0.00020707
                     42,                 1.1475,                0.97335,                 1.0565,                0.75866,                0.71155,                0.75946,                0.45019,                 1.4803,                 1.1739,                 1.2445,             0.00018907,             0.00018907,             0.00018907
                     43,                 1.1551,                0.91867,                 1.0454,                0.76788,                0.72353,                0.75194,                0.43972,                 1.4878,                 1.1567,                 1.2482,             0.00017107,             0.00017107,             0.00017107
                     44,                 1.1659,                0.93691,                 1.0497,                0.76808,                0.71549,                0.75741,                0.44402,                 1.4922,                 1.1346,                 1.2551,             0.00015308,             0.00015308,             0.00015308
                     45,                 1.1307,                0.90377,                 1.0547,                0.78561,                0.69299,                0.75832,                0.44825,                 1.4926,                 1.1153,                 1.2601,             0.00013508,             0.00013508,             0.00013508
                     46,                 1.1264,                0.87892,                 1.0415,                0.81656,                 0.6695,                 0.7594,                0.44903,                 1.4872,                 1.1327,                 1.2532,             0.00011708,             0.00011708,             0.00011708
                     47,                  1.117,                0.87574,                 1.0395,                0.83766,                0.67745,                0.76481,                0.45311,                 1.4908,                 1.1274,                 1.2519,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     48,                 1.0976,                0.85554,                 1.0351,                0.75441,                0.72595,                0.76258,                0.45305,                 1.4952,                 1.1312,                 1.2509,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     49,                 1.1185,                0.87157,                 1.0445,                 0.7429,                0.72947,                0.75744,                  0.449,                 1.4849,                 1.1266,                 1.2486,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     50,                 1.0925,                0.84761,                 1.0293,                0.76263,                0.72735,                0.76101,                0.44933,                 1.4789,                 1.1171,                 1.2455,             4.5086e-05,             4.5086e-05,             4.5086e-05
